Poster,Content,Thread,Gender,Location,Political_leaning
lpast,"cpwill saidYou claimed to have been Pro-Life.Click to expand...     I was for the lionshare of my life up unil I was confroned with a difficult decision and I made a choice that was best for my very young daughter...Try to GRASP this, I did what was right for my daughter...so how the F can I condemn anyone for making the same decision after that....that would be the hypocrit you accused me of being....not my changing my outward view because of the decision I made.    Im proud I had the courage to make that decision for my kid....you on the other hand may take the more cowardly route and just tell her to have th kid and STFU because its the conservative thing to do right will ?",1,Male,Fla,Independen
cpwill,"lpast saidI was for the lionshare of my life up unil I was confroned with a difficult decision and I made a choice that was best for my very young daughter...Click to expand...yes.  so as soon as it became expensive and difficult, you jetisoned the belief.  that is what we were discussing.Im proud I had the courage to make that decision for my kid....Click to expand...and your grandchild - who, let us remember, was effected as well.you on the other hand may take the more cowardly route and just tell her to have th kid and STFU because its the conservative thing to do right will ?Click to expand...Actually no.  In your situation we would likely do what my in-laws did with my wife, and offer to raise the child.",1,Male,USofA,Conservative
lpast,"cpwill saidyes.  so as soon as it became expensive and difficult, you jetisoned the belief.  that is what we were discussing.and your grandchild - who, let us remember, was effected as well.Actually no.  In your situation we would likely do what my in-laws did with my wife, and offer to raise the child.Click to expand...Like I said...you would take the good conservative route...thats what makes us differen...and what makes you think that raising the child wasn a consideration by my wife and I.....I stand by my decision and It was the right one....and sorry to have to break this to you...but your opinion of a decsion I made regarding my flesh and blood...couldn mean less to me ....you can get to me will...Im very comfortable I did the right thing...",1,Male,Fla,Independen
cpwill,"lpast saidLike I said...you would take the good conservative route...Click to expand...well i don't know if it's particularly conservative to believe that killing children is wrong.  but it is the pro-life positionhats what makes us differen...and what makes you think that raising the child wasn a consideration by my wife and I.....I stand by my decision and It was the right one....and sorry to have to break this to you...but your opinion of a decsion I made regarding my flesh and blood..Click to expand...indeed.  let us bring back the days when men owned women and could kill their children for disobedience.Sure that might be wrong, but hey, it would be easier, eh?Im very comfortable I did the right thing...Click to expand...I only hope your grandchild thinks the same.",1,Male,USofA,Conservative
Sheik Yerbut,lpast saidLike I said...you would take the good conservative route...thats what makes us differen...and what makes you think that raising the child wasn a consideration by my wife and I.....I stand by my decision and It was the right one....and sorry to have to break this to you...but your opinion of a decsion I made regarding my flesh and blood...couldn mean less to me ....you can get to me will...Im very comfortable I did the right thing...Click to expand...This is a sickness among Conservatives. They can't allow others to make these decision's for themselves.,1,,,Liberal
lpast,Sheik Yerbuti saidThis is a sickness among Conservatives. They can't allow others to make these decision's for themselves.Click to expand...  In this case cpwill is trying to use it to try get to me...and hes been failing and will coninue to do so...what he thinks is not importan to me at all...my blood is the only thing that couns..,1,Male,Fla,Independen
Conservative,"Sheik Yerbuti saidRealize it or not, when you said 850,000 discouraged workers left the workforce last monh, that is saying the number is cummulative.850,000 is not a cummulative number. If it was, there would be about 42,000,000 discouraged workers under Obama's watch; which of course, is absurd.Yes, 850,000 is the total -- you said it was the number who left the workforce ""last monh"" (meaning cummulative).Click to expand...Whether you believe it or not, I really don't care but the 850,000 discouraged workers were not in the labor force last monh and weren couned as unemployed and that number is 31,000 more than the monh before. Your support of Obama is noted and I know he appreciates it. You are an Obama dream supporter.",1,Male,"Houston, TX",Conservative
danarhea,"Misterveritis saidAnd a vote for Johnson is almost as good as a vote for the one term Marxist. It will lead the the same resultClick to expand...And because of that, I must vote for one whore over another whore?  Not going to happen.  If the Republican party ever wans me back, they are going to have to earn my vote.",1,Male,"Houston, TX",Conservative
Sheik Yerbut,"Conservative saidWhether you believe it or not, I really don't care but the 850,000 discouraged workers were not in the labor force last monh and weren couned as unemployed and that number is 31,000 more than the monh before. Your support of Obama is noted and I know he appreciates it. You are an Obama dream supporter.Click to expand...Squeals a Bush supporter who voted to give Bush 4 more years in office after twice as many people became discouraged workers during his first 4 years than Obama.:roll::roll::rollSpare me your feigned concern for discouraged workers.",1,,,Liberal
Conservative,"Sheik Yerbuti saidSqueals a Bush supporter who voted to give Bush 4 more years in office after twice as many people became discouraged workers during his first 4 years than Obama.:roll::roll::rollSpare me your feigned concern for discouraged workers.Click to expand...When does this become the Obama economy and results in your world? Like all liberals real numbers don't mater to you only percenage change but 850,000 which is almost double the Bush average probably don't agree with you.",1,Male,"Houston, TX",Conservative
